# L1_m9 Mstar-1sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>3 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 1.220784e-03
1.350000e+01 1.521475e-03
1.800000e+01 2.475395e-03
2.350000e+01 4.636663e-03
3.050000e+01 5.253519e-03
4.000000e+01 7.409110e-03
5.250000e+01 1.235692e-02
6.850000e+01 1.758462e-02
8.950000e+01 2.527329e-02
1.170000e+02 3.517407e-02
1.525000e+02 5.233601e-02
1.980000e+02 7.287447e-02
2.575000e+02 1.024799e-01
3.355000e+02 1.478956e-01
4.365000e+02 2.089490e-01
5.675000e+02 2.942578e-01
7.380000e+02 4.000365e-01
9.595000e+02 5.432184e-01
