# L1_m9 fgas+2sigma lightcone-0 tSZ; HEALPix Nside=4096 pixel window deconvolved; masked q>5 (qfrommz_alpha_fixed_1p12); r=max(4*theta500, 2x10arcmin), C2 apodization 0.25 deg, masked monopole subtracted, NaMaster MASTER per-ell (nlb=1, lmax=10000); uniform mean of D_ell over inclusive Planck bins
# ell_eff  1e12_D_ell_yy
1.000000e+01 1.352134e-03
1.350000e+01 1.771722e-03
1.800000e+01 2.860440e-03
2.350000e+01 4.885916e-03
3.050000e+01 6.122048e-03
4.000000e+01 8.545269e-03
5.250000e+01 1.315992e-02
6.850000e+01 1.874930e-02
8.950000e+01 2.783102e-02
1.170000e+02 3.947207e-02
1.525000e+02 5.769437e-02
1.980000e+02 8.279062e-02
2.575000e+02 1.162957e-01
3.355000e+02 1.702440e-01
4.365000e+02 2.383713e-01
5.675000e+02 3.341210e-01
7.380000e+02 4.541687e-01
9.595000e+02 6.113704e-01
